id_secundario,nombre_secundario,id_canonico,nombre_canonico,norm_name,sexo,nocs,part_secundario,part_canonico
223625,Jean Fldeak,223624,Jean Fldeak,jean fldeak,male,83,1,1
223637,Stephen Foley,223636,Stephen Foley,stephen foley,male,14,1,1
223638,Stephen Foley,223636,Stephen Foley,stephen foley,male,14,1,1
223639,Stephen Foley,223636,Stephen Foley,stephen foley,male,14,1,1
223640,Stephen Foley,223636,Stephen Foley,stephen foley,male,14,1,1
223641,Stephen Foley,223636,Stephen Foley,stephen foley,male,14,1,1
223652,Nicholas Folker,223651,Nicholas Folker,nicholas folker,male,176,1,1
223656,Tko Folligan,223655,Tko Folligan,tko folligan,male,210,1,1
223671,Jean Fonck,223670,Jean Fonck,jean fonck,male,127,1,1
223676,Lik Fong,223675,Lik Fong,lik fong,male,92,1,1
223677,Lik Fong,223675,Lik Fong,lik fong,male,92,1,1
223679,Fong Hor,223678,Fong Hor,fong hor,male,129,1,1
223681,Fong Jit,223680,Fong Jit,fong jit,male,129,1,1
223686,LeLei (-moore),223685,LeLei (-moore),lelei (-moore),female,223,1,1
223694,Mauri Fonseca,223693,Mauri Fonseca,mauri fonseca,male,31,1,1
223699,Ramn Segundo,223698,Ramn Segundo,ramn segundo,male,55,1,1
223700,Ramn Segundo,223698,Ramn Segundo,ramn segundo,male,55,1,1
223701,Ramn Segundo,223698,Ramn Segundo,ramn segundo,male,55,1,1
223702,Ramn Segundo,223698,Ramn Segundo,ramn segundo,male,55,1,1
223703,Ramn Segundo,223698,Ramn Segundo,ramn segundo,male,55,1,1
223704,Ramn Segundo,223698,Ramn Segundo,ramn segundo,male,55,1,1
223707,Marlene Kindeln,223706,Marlene Kindeln,marlene kindeln,female,55,1,1
223708,Marlene Kindeln,223706,Marlene Kindeln,marlene kindeln,female,55,1,1
223710,Ana Fontn,223709,Ana Fontn,ana fontn,female,10,1,1
223714,Marco Fontana,223713,Marco Fontana,marco fontana,male,104,1,1
223715,Marco Fontana,223713,Marco Fontana,marco fontana,male,104,1,1
223717,Silvia Sola,223716,Silvia Sola,silvia sola,female,67,1,1
223724,Jos Petit,223723,Jos Petit,jos petit,male,67,1,1
223743,Dianne (-moreland),223742,Dianne (-moreland),dianne (-moreland),female,157,1,1
223744,Dianne (-moreland),223742,Dianne (-moreland),dianne (-moreland),female,157,1,1
223745,Dianne (-moreland),223742,Dianne (-moreland),dianne (-moreland),female,157,1,1
223746,Dianne (-moreland),223742,Dianne (-moreland),dianne (-moreland),female,157,1,1
223765,Enrico Pelliccioni,223764,Enrico Pelliccioni,enrico pelliccioni,male,226,1,1
223766,Enrico Pelliccioni,223764,Enrico Pelliccioni,enrico pelliccioni,male,226,1,1
223770,Bernard Ford,223769,Bernard Ford,bernard ford,male,78,1,1
223785,Michelle (-eriksson),223784,Michelle (-eriksson),michelle (-eriksson),female,14,1,1
223786,Michelle (-eriksson),223784,Michelle (-eriksson),michelle (-eriksson),female,14,1,1
223787,Michelle (-eriksson),223784,Michelle (-eriksson),michelle (-eriksson),female,14,1,1
223788,Michelle (-eriksson),223784,Michelle (-eriksson),michelle (-eriksson),female,14,1,1
223798,Lorna (-mitchell),223797,Lorna (-mitchell),lorna (-mitchell),female,19,1,1
223799,Lorna (-mitchell),223797,Lorna (-mitchell),lorna (-mitchell),female,19,1,1
223808,Joseph Foreman,223807,Joseph Foreman,joseph foreman,male,38,1,1
223811,Ferenc (facznek-),223810,Ferenc (facznek-),ferenc (facznek-),male,94,1,1
223824,va (-hammerl),223823,va (-hammerl),va (-hammerl),female,94,1,1
223825,va (-hammerl),223823,va (-hammerl),va (-hammerl),female,94,1,1
223826,va (-hammerl),223823,va (-hammerl),va (-hammerl),female,94,1,1
