nombre_normalizado,ids_involucrados,identidad_canonica_propuesta,nombre_muestra,clasificacion,evidencia_a_favor,conflictos,participaciones_por_id,cantidad_ids,nota
jakob gnthard,232198;232199;232200;232201;232202;232203;232204;232205,232198,Jakob Gnthard,REVIEW,nombre_auxiliar_comun,,232198:1;232199:1;232200:1;232201:1;232202:1;232203:1;232204:1;232205:1,8,No se aplica merge; requiere revisión.
johann gnther,232216;232217,232216,Johann Gnther,REVIEW,nombre_auxiliar_comun,,232216:1;232217:1,2,No se aplica merge; requiere revisión.
sabine rieger,232218;232219,232218,Sabine (rieger-),REVIEW,nombre_auxiliar_comun,,232218:1;232219:1,2,No se aplica merge; requiere revisión.
eduardo martnez,232267;265140;265141;265142;265143,232267,Eduardo Martnez,REVIEW,nombre_auxiliar_comun,,232267:1;265140:1;265141:1;265142:1;265143:1,5,No se aplica merge; requiere revisión.
lorena garca,232270;232271,232270,Lorena Garca,REVIEW,nombre_auxiliar_comun,,232270:1;232271:1,2,No se aplica merge; requiere revisión.
ilona majdan,232296;232297,232296,Ilona (majdan-),REVIEW,nombre_auxiliar_comun,,232296:1;232297:1,2,No se aplica merge; requiere revisión.
gheorghe guet,232298;232299;232300,232298,Gheorghe Guet,REVIEW,nombre_auxiliar_comun,,232298:1;232299:1;232300:1,3,No se aplica merge; requiere revisión.
rebeca gusmo,232318;232319;232320,232318,Rebeca Gusmo,REVIEW,nombre_auxiliar_comun,,232318:1;232319:1;232320:1,3,No se aplica merge; requiere revisión.
gustaf edmund,232327;232328,232327,Gustaf Edmund,REVIEW,nombre_auxiliar_comun,,232327:1;232328:1,2,No se aplica merge; requiere revisión.
eygl gstafsdttir,232329;232330;232331;232332;232333;232334,232329,Eygl Gstafsdttir,REVIEW,nombre_auxiliar_comun,,232329:1;232330:1;232331:1;232332:1;232333:1;232334:1,6,No se aplica merge; requiere revisión.
johan gustafsson,232339;232348;232349;232350,232339,Johan Gustafsson,REVIEW,nombre_auxiliar_comun,,232339:1;232348:1;232349:1;232350:1,4,No se aplica merge; requiere revisión.
bror gustafsson,232345;232346;232347,232345,Bror Gustafsson,REVIEW,nombre_auxiliar_comun,,232345:1;232346:1;232347:1,3,No se aplica merge; requiere revisión.
gunvor gustafsson,232354;232355,232354,Gunvor Gustafsson,REVIEW,nombre_auxiliar_comun,,232354:1;232355:1,2,No se aplica merge; requiere revisión.
axel gustafsson,232358;232359,232358,Axel Gustafsson,REVIEW,nombre_auxiliar_comun,,232358:1;232359:1,2,No se aplica merge; requiere revisión.
gustavo endres,232365;232366,232365,Gustavo Endres,REVIEW,nombre_auxiliar_comun,,232365:1;232366:1,2,No se aplica merge; requiere revisión.
linda mcguire,232368;232369;232370,232368,Linda (-mcguire),REVIEW,nombre_auxiliar_comun,,232368:1;232369:1;232370:1,3,No se aplica merge; requiere revisión.
bjrgvin gustavsson,232371;232372,232371,Bjrgvin Gustavsson,REVIEW,nombre_auxiliar_comun,,232371:1;232372:1,2,No se aplica merge; requiere revisión.
carina wilgotson,232373;232374,232373,Carina (-wilgotson),REVIEW,nombre_auxiliar_comun,,232373:1;232374:1,2,No se aplica merge; requiere revisión.
lars gustavsson,232378;232379;232380;232381,232378,Lars Gustavsson,REVIEW,nombre_auxiliar_comun,,232378:1;232379:1;232380:1;232381:1,4,No se aplica merge; requiere revisión.
edmond gutenkauf,232387;232388,232387,Edmond Gutenkauf,REVIEW,nombre_auxiliar_comun,,232387:1;232388:1,2,No se aplica merge; requiere revisión.
karin hrtig,232390;232391;232392,232390,Karin (-hrtig),REVIEW,nombre_auxiliar_comun,,232390:1;232391:1;232392:1,3,No se aplica merge; requiere revisión.
allan castro,232396;232397,232396,Allan Castro,REVIEW,nombre_auxiliar_comun,,232396:1;232397:1,2,No se aplica merge; requiere revisión.
augusto campos,232398;232399;232400;232401;232402,232398,Augusto Campos,REVIEW,nombre_auxiliar_comun,,232398:1;232399:1;232400:1;232401:1;232402:1,5,No se aplica merge; requiere revisión.
eduardo james,232404;232405,232404,Eduardo James,REVIEW,nombre_auxiliar_comun,,232404:1;232405:1,2,No se aplica merge; requiere revisión.
elias campo,232406;232407,232406,Elias Campo,REVIEW,nombre_auxiliar_comun,,232406:1;232407:1,2,No se aplica merge; requiere revisión.
francisco hernndez,232409;232410,232409,Francisco Hernndez,REVIEW,nombre_auxiliar_comun,,232409:1;232410:1,2,No se aplica merge; requiere revisión.
