fuente,archivo,columna,valor_original,frecuencia,motivo
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 January 1970,6,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 January 1971,3,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 January 1972,3,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 January 1973,5,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 January 1974,3,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 January 1975,5,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 January 1976,7,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 January 1977,2,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 January 1978,4,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 January 1979,3,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 January 1980,2,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 January 1981,4,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 January 1982,7,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 January 1984,2,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 January 1985,1,Fecha extraída sin ciudad/región explícita.
