componente_evento,miembros,nombres,tamano,deportes,disciplinas,generos,pares_evaluados,pares_safe,pares_conflict_review,pares_faltantes,coexistencia,clasificacion,id_evento_canonico_propuesto,nombre_canonico_propuesto,razon
EV00073,288;2485;2980;3102,"Cycling Men's Team Sprint | Men's Team Sprint | Men's Team Sprint Team | Team Sprint, Men (Olympic)",4,cycling,cycling track,men,6,3,2,0,,REVIEW_EVENT_COMPONENT,2485,Cycling Men's Team Sprint,contiene CONFLICT_ALIAS/REVIEW_ALIAS interno
EV00074,293;320,"Tandem Sprint, 2,000 metres, Men (Intercalated) | Tandem Sprint, 2,000 metres, Men (Olympic)",2,cycling,cycling road,men,1,1,0,0,,SAFE_EVENT_COMPONENT,320,"Tandem Sprint, 2,000 metres, Men (Intercalated)","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00075,299;2484;2941,"Cycling Men's Keirin | Keirin, Men (Olympic) | Men's Keirin",3,cycling,cycling track,men,3,2,0,0,,SAFE_EVENT_COMPONENT,2484,Cycling Men's Keirin,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00076,301;2477;2996,"Cycling Men's Omnium | Men's Omnium | Omnium, Men (Olympic)",3,cycling,cycling track,men,3,2,0,0,,SAFE_EVENT_COMPONENT,2477,Cycling Men's Omnium,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00077,303;1902,"Football Men's Football | Football, Men (Olympic)",2,football,football,men,1,1,0,0,,SAFE_EVENT_COMPONENT,1902,Football Men's Football,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00078,306;634;2277;2820,"Men's Single Sculls | Rowing Men's Single Sculls | Single Sculls, Men (Intercalated) | Single Sculls, Men (Olympic)",4,rowing,rowing,men,6,3,0,0,,SAFE_EVENT_COMPONENT,306,"Single Sculls, Men (Intercalated)","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00079,338;1944,"Hockey Women's Hockey | Hockey, Women (Olympic)",2,hockey,hockey,women,1,1,0,0,,SAFE_EVENT_COMPONENT,338,"Hockey, Women (Olympic)","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00080,344;2449,"Cricket Men's Cricket | Cricket, Men (Olympic)",2,cricket,cricket,men,1,1,0,0,,SAFE_EVENT_COMPONENT,2449,Cricket Men's Cricket,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00081,358;1955;2427;2731,"Fencing Men's Foil, Individual | Fencing Men's Foil, Masters, Individual | Foil, Individual, Men (Olympic) | Men's Foil Individual",4,fencing,fencing,men,6,3,1,0,"fuente2:[('1896', 'Summer'), ('1900', 'Summer')] | fuente3:[('1896', 'Summer'), ('1900', 'Summer')]",REVIEW_EVENT_COMPONENT,2427,"Fencing Men's Foil, Masters, Individual",contiene CONFLICT_ALIAS/REVIEW_ALIAS interno; coexistencia en misma fuente/edición
EV00082,365;1180,"Heavyweight, Greco-Roman, Men (Intercalated) | Heavyweight, Greco-Roman, Men (Olympic)",2,tug of war,tug of war,men,1,1,0,0,,SAFE_EVENT_COMPONENT,1180,"Heavyweight, Greco-Roman, Men (Intercalated)","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
