clave_logica_original,id_atleta,id_edicion,id_evento,id_noc,equipo,medalla,cantidad_filas,duplicados_excedentes,clasificacion,campos_conflictivos,campos_complementarios,ids_participacion,procedencia
62066|2|999|73|Sidi-Fekkar|,62066,2,999,73,Sidi-Fekkar,,2,1,PREEXISTING_CONFLICT,estado_resultado,,131240;131241,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
62263|2|999|73|Sidi-Fekkar|,62263,2,999,73,Sidi-Fekkar,,2,1,PREEXISTING_CONFLICT,estado_resultado,,131552;131553,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
62263|2|994|73|Henri Laverne|,62263,2,994,73,Henri Laverne,,2,1,PREEXISTING_COMPLEMENTARY_DUPLICATE,,posicion;estado_resultado,131554;131555,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
62264|2|994|73|Eugène Laverne|,62264,2,994,73,Eugène Laverne,,2,1,PREEXISTING_COMPLEMENTARY_DUPLICATE,,posicion;estado_resultado,131557;131558,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
62277|2|999|73||,62277,2,999,73,,,2,1,PREEXISTING_COMPLEMENTARY_DUPLICATE,,posicion;estado_resultado,131576;131578,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
62280|2|994|73||,62280,2,994,73,,,2,1,PREEXISTING_COMPLEMENTARY_DUPLICATE,,posicion;estado_resultado,131586;131587,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
62284|2|999|73||,62284,2,999,73,,,2,1,PREEXISTING_CONFLICT,posicion,,131593;131594,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
62416|2|1010|73||,62416,2,1010,73,,,2,1,PREEXISTING_COMPLEMENTARY_DUPLICATE,,posicion;estado_resultado,131785;131786,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
62452|2|1010|73||,62452,2,1010,73,,,2,1,PREEXISTING_CONFLICT,posicion,,131850;131851,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
62543|2|1010|73||,62543,2,1010,73,,,2,1,PREEXISTING_COMPLEMENTARY_DUPLICATE,,posicion;estado_resultado,131980;131981,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
62574|2|994|73||,62574,2,994,73,,,2,1,PREEXISTING_CONFLICT,posicion,,132024;132025,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
62584|2|1007|73||,62584,2,1007,73,,,2,1,PREEXISTING_CONFLICT,posicion,,132041;132042,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
62887|2|999|73|Sidi-Fekkar|,62887,2,999,73,Sidi-Fekkar,,2,1,PREEXISTING_CONFLICT,estado_resultado,,132496;132497,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
63032|2|999|73||,63032,2,999,73,,,2,1,PREEXISTING_CONFLICT,posicion,,132711;132712,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
63414|2|993|73|Texier II|,63414,2,993,73,Texier II,,2,1,PREEXISTING_CONFLICT,estado_resultado,,133241;133242,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
63414|2|999|73|Texier II|,63414,2,999,73,Texier II,,2,1,PREEXISTING_CONFLICT,posicion,,133245;133246,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
63414|2|994|73|Texier II|,63414,2,994,73,Texier II,,2,1,PREEXISTING_CONFLICT,posicion,,133247;133248,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
63414|2|1010|73|Texier II|,63414,2,1010,73,Texier II,,2,1,PREEXISTING_COMPLEMENTARY_DUPLICATE,,posicion;estado_resultado,133249;133250,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
63415|2|993|73|Texier I|,63415,2,993,73,Texier I,,2,1,PREEXISTING_CONFLICT,estado_resultado,,133251;133252,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
63415|2|999|73|Texier I|,63415,2,999,73,Texier I,,2,1,PREEXISTING_CONFLICT,posicion,,133255;133256,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
63415|2|994|73|Texier I|,63415,2,994,73,Texier I,,2,1,PREEXISTING_CONFLICT,posicion,,133257;133258,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
63415|2|1010|73|Texier I|,63415,2,1010,73,Texier I,,2,1,PREEXISTING_COMPLEMENTARY_DUPLICATE,,posicion;estado_resultado,133259;133260,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
63624|2|994|73||,63624,2,994,73,,,2,1,PREEXISTING_CONFLICT,posicion,,133546;133547,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
77626|3|1103|223||,77626,3,1103,223,,,2,1,PREEXISTING_CONFLICT,posicion,,163409;163410,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
77816|3|1138|223||,77816,3,1138,223,,,2,1,PREEXISTING_CONFLICT,posicion,,163832;163833,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
77816|3|1163|223||,77816,3,1163,223,,,2,1,PREEXISTING_CONFLICT,posicion,,163834;163835,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
77831|3|389|223||,77831,3,389,223,,,2,1,PREEXISTING_CONFLICT,posicion,,163863;163864,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
77897|3|384|223||,77897,3,384,223,,,2,1,PREEXISTING_CONFLICT,posicion,,163995;163996,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
77947|3|1154|223||,77947,3,1154,223,,,2,1,PREEXISTING_CONFLICT,posicion,,164104;164105,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
77947|3|1047|223||,77947,3,1047,223,,,2,1,PREEXISTING_CONFLICT,posicion,,164107;164108,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
78018|3|392|223||,78018,3,392,223,,,2,1,PREEXISTING_CONFLICT,posicion,,164269;164270,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
78018|3|1109|223||,78018,3,1109,223,,,2,1,PREEXISTING_CONFLICT,posicion,,164273;164274,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
79662|2|343|73|Blue|,79662,2,343,73,Blue,,2,1,PREEXISTING_CONFLICT,posicion,,167723;167725,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
80073|39|1225|94||,80073,39,1225,94,,,2,1,PREEXISTING_CONFLICT,posicion,,168681;168684,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
91384|44|1308|72||,91384,44,1308,72,,,2,1,PREEXISTING_CONFLICT,posicion,,196779;196783,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
101533|3|1457|223||,101533,3,1457,223,,,2,1,PREEXISTING_CONFLICT,posicion,,222070;222071,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
145501|38|1900|43|China|,145501,38,1900,43,China,,2,1,PREEXISTING_COMPLEMENTARY_DUPLICATE,,edad;altura_cm_registrada;peso_kg_registrado,308266;577997,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
120610|50|1901|43|China|,120610,50,1901,43,China,,2,1,PREEXISTING_COMPLEMENTARY_DUPLICATE,,edad;altura_cm_registrada;peso_kg_registrado,308267;577998,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
24427|7|1902|58|Denmark|,24427,7,1902,58,Denmark,,2,1,PREEXISTING_COMPLEMENTARY_DUPLICATE,,edad,308268;577999,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
17686|2|1903|58|Denmark/Sweden|Gold,17686,2,1903,58,Denmark/Sweden,Gold,2,1,PREEXISTING_COMPLEMENTARY_DUPLICATE,,edad,308269;578000,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
82060|43|1915|72|Finland|,82060,43,1915,72,Finland,,2,1,PREEXISTING_COMPLEMENTARY_DUPLICATE,,edad;altura_cm_registrada;peso_kg_registrado,308297;578004,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
60653|41|1916|72|Finland|,60653,41,1916,72,Finland,,2,1,PREEXISTING_COMPLEMENTARY_DUPLICATE,,edad;altura_cm_registrada;peso_kg_registrado,308298;578005,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
46333|6|1918|72|Finland|,46333,6,1918,72,Finland,,2,1,PREEXISTING_COMPLEMENTARY_DUPLICATE,,edad,308301;578007,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
29639|16|1920|72|Finland|Bronze,29639,16,1920,72,Finland,Bronze,2,1,PREEXISTING_COMPLEMENTARY_DUPLICATE,,edad;altura_cm_registrada;peso_kg_registrado,308307;578012,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
86163|43|1928|72|Finland|,86163,43,1928,72,Finland,,2,1,PREEXISTING_COMPLEMENTARY_DUPLICATE,,edad;altura_cm_registrada;peso_kg_registrado,308323;578028,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
110787|47|1935|155|Norway|Gold,110787,47,1935,155,Norway,Gold,2,1,PREEXISTING_COMPLEMENTARY_DUPLICATE,,edad;altura_cm_registrada,308345;578030,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
128937|54|1936|175|Romania|,128937,54,1936,175,Romania,,2,1,PREEXISTING_COMPLEMENTARY_DUPLICATE,,edad;altura_cm_registrada;peso_kg_registrado,308346;578031,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
94398|43|1937|155|Norway|,94398,43,1937,155,Norway,,2,1,PREEXISTING_COMPLEMENTARY_DUPLICATE,,edad;altura_cm_registrada;peso_kg_registrado,308347;578032,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
30626|7|1940|155|Norway|Silver,30626,7,1940,155,Norway,Silver,2,1,PREEXISTING_COMPLEMENTARY_DUPLICATE,,edad,308352;578034,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
54094|34|1942|150|Netherlands|,54094,34,1942,150,Netherlands,,2,1,PREEXISTING_COMPLEMENTARY_DUPLICATE,,edad,308354;578035,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
63775|26|1943|155|Norway|,63775,26,1943,155,Norway,,2,1,PREEXISTING_COMPLEMENTARY_DUPLICATE,,edad;altura_cm_registrada;peso_kg_registrado,308355;578036,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
19572|36|1944|150|Netherlands|Bronze,19572,36,1944,150,Netherlands,Bronze,2,1,PREEXISTING_COMPLEMENTARY_DUPLICATE,,edad,308357;578038,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
38739|41|1945|150|Netherlands|Silver,38739,41,1945,150,Netherlands,Silver,2,1,PREEXISTING_COMPLEMENTARY_DUPLICATE,,edad;altura_cm_registrada;peso_kg_registrado,308358;578039,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
73684|6|1947|155|Norway|,73684,6,1947,155,Norway,,2,1,PREEXISTING_COMPLEMENTARY_DUPLICATE,,edad,308361;578042,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
63776|38|1948|72|Finland|,63776,38,1948,72,Finland,,2,1,PREEXISTING_COMPLEMENTARY_DUPLICATE,,edad;altura_cm_registrada;peso_kg_registrado,308362;578043,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
49165|41|1951|150|Netherlands|,49165,41,1951,150,Netherlands,,2,1,PREEXISTING_COMPLEMENTARY_DUPLICATE,,edad;altura_cm_registrada;peso_kg_registrado,308366;578046,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
30627|7|1940|155|Norway|Silver,30627,7,1940,155,Norway,Silver,2,1,PREEXISTING_COMPLEMENTARY_DUPLICATE,,edad,308372;578052,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
26601|7|1902|155|Norway|,26601,7,1902,155,Norway,,2,1,PREEXISTING_COMPLEMENTARY_DUPLICATE,,edad,308382;578056,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
12967|38|1961|155|Norway|,12967,38,1961,155,Norway,,2,1,PREEXISTING_COMPLEMENTARY_DUPLICATE,,edad;altura_cm_registrada;peso_kg_registrado,308384;578058,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
145509|14|1963|155|Norway|,145509,14,1963,155,Norway,,2,1,PREEXISTING_COMPLEMENTARY_DUPLICATE,,edad,308390;578059,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
145510|14|1964|155|Norway|,145510,14,1964,155,Norway,,2,1,PREEXISTING_COMPLEMENTARY_DUPLICATE,,edad;altura_cm_registrada;peso_kg_registrado,308391;578060,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
73685|7|1966|155|Norway|,73685,7,1966,155,Norway,,2,1,PREEXISTING_COMPLEMENTARY_DUPLICATE,,edad;altura_cm_registrada;peso_kg_registrado,308396;578065,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
