id_evento,nombre,deporte,disciplina,genero,categoria_edad,condicion_medalla,modalidad,team_individual,distancia_normalizada,distancia_compuesta,categoria_peso,aparato,numero_participantes,youth,non_medal,modificadores_restantes,redundancia_padre,semantic_key,fuentes
2331,"Art Competitions Mixed Sculpturing, Statues",art competitions,art competitions,mixed,adult,medal,mixed,,,,,,,NO,NO,sculpturing | statues,0,"[""art competitions"", ""art competitions"", ""mixed"", ""adult"", ""medal"", [""mixed""], [], [], [], [""sculpturing"", ""statues""]]",fuente2 | fuente3
2332,Rugby Men's Rugby,rugby,rugby,men,adult,medal,,,,,,,,NO,NO,,1,"[""rugby"", ""rugby"", ""men"", ""adult"", ""medal"", [], [], [], [], []]",fuente2 | fuente3
2333,Weightlifting Men's Heavyweight II,weightlifting,weightlifting,men,adult,medal,heavyweight,,,,,,,NO,NO,ii,0,"[""weightlifting"", ""weightlifting"", ""men"", ""adult"", ""medal"", [""heavyweight""], [], [], [], [""ii""]]",fuente2 | fuente3
2334,"Canoeing Women's Kayak Doubles, 500 metres",,,,adult,medal,doubles,,500:m,,,,,NO,NO,canoeing | kayak,0,"["""", """", """", ""adult"", ""medal"", [""doubles""], [""500:m""], [], [], [""canoeing"", ""kayak""]]",
2335,"Short Track Speed Skating Men's 5,000 metres Relay",,,,adult,medal,relay,,5000:m,,,,relay,NO,NO,short | skating | speed | track,0,"["""", """", """", ""adult"", ""medal"", [""relay""], [""5000:m""], [], [], [""short"", ""skating"", ""speed"", ""track""]]",
2336,Cycling Men's Individual Time Trial,cycling,cycling road,men,adult,medal,individual,individual,,,,,individual,NO,NO,time | trial,0,"[""cycling"", ""cycling road"", ""men"", ""adult"", ""medal"", [""individual""], [], [], [], [""time"", ""trial""]]",fuente2 | fuente3
2337,Judo Women's Heavyweight,judo,judo,women,adult,medal,heavyweight,,,,,,,NO,NO,,0,"[""judo"", ""judo"", ""women"", ""adult"", ""medal"", [""heavyweight""], [], [], [], []]",fuente2 | fuente3
2338,"Canoeing Men's Kayak Doubles, 1,000 metres",,,,adult,medal,doubles,,1000:m,,,,,NO,NO,canoeing | kayak,0,"["""", """", """", ""adult"", ""medal"", [""doubles""], [""1000:m""], [], [], [""canoeing"", ""kayak""]]",
2339,"Gymnastics Men's Individual All-Around, 5 Events",gymnastics,artistic gymnastics,men,adult,medal,individual,individual,,,,,individual,NO,NO,5 | all | around,0,"[""gymnastics"", ""artistic gymnastics"", ""men"", ""adult"", ""medal"", [""individual""], [], [], [], [""5"", ""all"", ""around""]]",fuente2 | fuente3
2340,"Wrestling Men's Super-Heavyweight, Freestyle",wrestling,wrestling freestyle,men,adult,medal,freestyle | heavyweight,,,,,,,NO,NO,super,0,"[""wrestling"", ""wrestling freestyle"", ""men"", ""adult"", ""medal"", [""freestyle"", ""heavyweight""], [], [], [], [""super""]]",fuente2 | fuente3
