clave_logica_pre,filas,extras_duplicados_preexistentes,id_atleta,id_edicion,id_evento_original,id_noc,equipo,medalla,ids_participacion,componentes_safe_relacionados
23977|28|1902|31|Brazil|,2,1,23977,28,1902,31,Brazil,,308934;578581,EV500064
114833|47|2039|223|United States|,2,1,114833,47,2039,223,United States,,308937;578584,
28279|28|2112|80|East Germany|,2,1,28279,28,2112,80,East Germany,,308942;578585,
116313|47|2112|83|Germany|,2,1,116313,47,2112,83,Germany,,308953;578596,
43045|8|1963|142|Monaco|,2,1,43045,8,1963,142,Monaco,,308960;578603,
114086|47|2123|83|Germany|,2,1,114086,47,2123,83,Germany,,308969;578612,
28460|22|2112|102|Israel|,2,1,28460,22,2112,102,Israel,,308971;578614,
145585|43|2041|69|Ethiopia|Gold,2,1,145585,43,2041,69,Ethiopia,Gold,308986;578626,
145587|6|2016|200|Sweden|,2,1,145587,6,2016,200,Sweden,,308991;578631,
145592|16|2129|200|Sweden|,2,1,145592,16,2129,200,Sweden,,308997;578636,
123625|50|1902|130|Morocco|,2,1,123625,50,1902,130,Morocco,,308999;578638,EV500064
31292|41|1987|5|Algeria|,2,1,31292,41,1987,5,Algeria,,309008;578642,EV500096
71291|28|2047|104|Italy|,2,1,71291,28,2047,104,Italy,,309010;578643,
103992|45|2131|214|Turkey|,2,1,103992,45,2131,214,Turkey,,309011;578644,
92412|43|2132|193|Sri Lanka|,2,1,92412,43,2132,193,Sri Lanka,,309015;578648,
129790|54|1981|11|Armenia|,2,1,129790,54,1981,11,Armenia,,309018;578651,
9301|38|2134|44|Cote d'Ivoire|,2,1,9301,38,2134,44,Cote d'Ivoire,,309019;578652,
41756|34|2137|73|France|,2,1,41756,34,2137,73,France,,309026;578659,
47105|36|2045|80|East Germany|,2,1,47105,36,2045,80,East Germany,,309027;578660,
27243|36|1902|213|Tunisia|,2,1,27243,36,1902,213,Tunisia,,309028;578661,EV500064
73418|28|2018|153|Nigeria|,2,1,73418,28,2018,153,Nigeria,,309030;578663,
111396|47|2138|109|Kazakhstan|,2,1,111396,47,2138,109,Kazakhstan,,309032;578665,
114253|47|2042|108|Japan|,2,1,114253,47,2042,108,Japan,,309033;578666,
119138|50|2139|108|Japan|,2,1,119138,50,2139,108,Japan,,309034;578667,
119926|50|1912|153|Nigeria|,2,1,119926,50,1912,153,Nigeria,,309040;578673,
132461|54|2141|153|Nigeria|,2,1,132461,54,2141,153,Nigeria,,309041;578674,
7520|32|2073|22|Benin|,2,1,7520,32,2073,22,Benin,,309042;578675,
113205|47|2120|177|Russia|,2,1,113205,47,2120,177,Russia,,309045;578677,
105105|45|2057|16|Azerbaijan|,2,1,105105,45,2057,16,Azerbaijan,,309046;578678,
126941|54|2024|31|Brazil|,2,1,126941,54,2024,31,Brazil,,309047;578679,
145600|10|1942|78|Great Britain|,2,1,145600,10,1942,78,Great Britain,,309051;578680,
118708|50|1921|177|Russia|,2,1,118708,50,1921,177,Russia,,309054;578683,
38490|30|2144|150|Netherlands|,2,1,38490,30,2144,150,Netherlands,,309064;578693,
25310|41|1902|84|Ghana|,2,1,25310,41,1902,84,Ghana,,309066;578695,EV500064
120134|50|2145|153|Nigeria|,2,1,120134,50,2145,153,Nigeria,,309067;578696,
50418|28|1914|221|Soviet Union|,2,1,50418,28,1914,221,Soviet Union,,309068;578697,
75083|28|2018|191|Somalia|,2,1,75083,28,2018,191,Somalia,,309072;578701,
66109|34|2014|45|Cameroon|,2,1,66109,34,2014,45,Cameroon,,309084;578706,
90412|43|1902|130|Morocco|,2,1,90412,43,1902,130,Morocco,,309117;578739,EV500064
104549|45|2080|171|Qatar|,2,1,104549,45,2080,171,Qatar,,309119;578740,
4017|38|2073|100|Iraq|,2,1,4017,38,2073,100,Iraq,,309121;578742,
7384|34|2010|5|Algeria|,2,1,7384,34,2010,5,Algeria,,309123;578744,
120779|50|1973|5|Algeria|,2,1,120779,50,1973,5,Algeria,,309125;578746,
130823|54|1987|63|Egypt|,2,1,130823,54,1987,63,Egypt,,309126;578747,EV500096
121373|50|1955|63|Egypt|Silver,2,1,121373,50,1955,63,Egypt,Silver,309127;578748,
24526|38|1902|63|Egypt|,2,1,24526,38,1902,63,Egypt,,309131;578752,EV500064
105664|45|1979|63|Egypt|,2,1,105664,45,1979,63,Egypt,,309133;578754,
